Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50
GCA_015152215.1	ASM1515221v1	Homo sapiens					BC05202	female		2847807921	Scaffold	2020-10-30	JADDHG01	172463	40808150
GCA_015152235.1	ASM1515223v1	Homo sapiens					BC05201	male		2855920570	Scaffold	2020-10-30	JADDHE01	168779	28835737
GCA_015152255.1	ASM1515225v1	Homo sapiens					BC05301	male		2861903481	Scaffold	2020-10-30	JADDHI01	167978	39678223
GCA_015152275.1	ASM1515227v1	Homo sapiens					BC05102	female		2845149176	Scaffold	2020-10-30	JADDHC01	177092	38124687
GCA_015152295.1	ASM1515229v1	Homo sapiens					BC05101	male		2863214365	Scaffold	2020-10-30	JADDHA01	174854	39750475
GCA_015152315.1	ASM1515231v1	Homo sapiens					BC04802	female		2844411138	Scaffold	2020-10-30	JADDGU01	179781	45978974
GCA_015152335.1	ASM1515233v1	Homo sapiens					BC04801	male		2848086795	Scaffold	2020-10-30	JADDGS01	175699	33190600
GCA_015152365.1	ASM1515236v1	Homo sapiens					BC04902	female		2842686530	Scaffold	2020-10-30	JADDGY01	178428	38238041
GCA_015152395.1	ASM1515239v1	Homo sapiens					BC04901	male		2852651199	Scaffold	2020-10-30	JADDGW01	177365	31878316
GCA_015155735.1	ASM1515573v1	Homo sapiens					LLD0181C	female		2855343512	Scaffold	2020-10-30	JADEIZ01	194567	31004166
GCA_015155765.1	ASM1515576v1	Homo sapiens					LLD0176C	female		2841937872	Scaffold	2020-10-30	JADEIX01	174070	30476419
GCA_015155795.1	ASM1515579v1	Homo sapiens					LLD0176C	female		2841625725	Scaffold	2020-10-30	JADEIY01	174025	30472901
GCA_015156095.1	ASM1515609v1	Homo sapiens					LLD0183C	female		2840664759	Scaffold	2020-10-30	JADEJC01	193870	25769506
GCA_015156155.1	ASM1515615v1	Homo sapiens					LLD0183C	female		2840643017	Scaffold	2020-10-30	JADEJB01	193280	25783054
GCA_015156195.1	ASM1515619v1	Homo sapiens					LLD0181C	female		2855266579	Scaffold	2020-10-30	JADEJA01	194000	31002576
GCA_015156235.1	ASM1515623v1	Homo sapiens					LLD0201C	female		2841573348	Scaffold	2020-10-30	JADEJF01	187522	38486718
GCA_015156255.1	ASM1515625v1	Homo sapiens					LLD0200C	male		2855975941	Scaffold	2020-10-30	JADEJE01	195689	22168344
GCA_015156275.1	ASM1515627v1	Homo sapiens					LLD0200C	male		2856420331	Scaffold	2020-10-30	JADEJD01	196014	22165201
GCA_015156295.1	ASM1515629v1	Homo sapiens					BC02602	female		2874708619	Scaffold	2020-10-30	JADDDN01	172023	37947429
GCA_015156315.1	ASM1515631v1	Homo sapiens					NTUH-F02-M	female		2839549857	Scaffold	2020-10-30	JADEJJ01	151078	39562824
GCA_015156355.1	ASM1515635v1	Homo sapiens					NTUH-F02-F	male		2874834037	Scaffold	2020-10-30	JADEJH01	154824	20686539
GCA_015156715.1	ASM1515671v1	Homo sapiens					LLD0201C	female		2841554886	Scaffold	2020-10-30	JADEJG01	187289	38472177
GCA_015157055.1	ASM1515705v1	Homo sapiens					NTUH-F03-F-3	male		2870320269	Scaffold	2020-10-30	JADEJM01	169071	21640495
GCA_015157095.1	ASM1515709v1	Homo sapiens					NTUH-F03-F-3	male		2870904236	Scaffold	2020-10-30	JADEJL01	168754	21638346
GCA_015157105.1	ASM1515710v1	Homo sapiens					NTUH-F02-M	female		2839061277	Scaffold	2020-10-30	JADEJK01	151049	39516929
GCA_015157215.1	ASM1515721v1	Homo sapiens					NTUH-F04-F-2	male		2867679235	Scaffold	2020-10-30	JADEJP01	164018	18982678
GCA_015157255.1	ASM1515725v1	Homo sapiens					NTUH-F03-M-2	female		2854910986	Scaffold	2020-10-30	JADEJO01	167429	25016982
GCA_015157295.1	ASM1515729v1	Homo sapiens					NTUH-F03-M-2	female		2855210259	Scaffold	2020-10-30	JADEJN01	167275	25028062
GCA_015158305.1	ASM1515830v1	Homo sapiens					NTUH-F04-F-2	male		2866966809	Scaffold	2020-10-30	JADEJQ01	163376	18987908
GCA_015158335.1	ASM1515833v1	Homo sapiens					NTUH-F04-M-2	female		2841521782	Scaffold	2020-10-30	JADEJS01	174978	19750943
GCA_015158355.1	ASM1515835v1	Homo sapiens					NTUH-F04-M-2	female		2841862769	Scaffold	2020-10-30	JADEJR01	175691	19755977
GCA_015158375.1	ASM1515837v1	Homo sapiens					NTUH-F06F	male		2863995018	Scaffold	2020-10-30	JADEJX01	182456	31985384
GCA_015158395.1	ASM1515839v1	Homo sapiens					NTUH-F05-M-1	female		2846129594	Scaffold	2020-10-30	JADEJW01	153631	44185186
GCA_015158415.1	ASM1515841v1	Homo sapiens					NTUH-F05-F-1	male		2857190378	Scaffold	2020-10-30	JADEJU01	148671	30123679
GCA_015158435.1	ASM1515843v1	Homo sapiens					NTUH-F05-M-1	female		2846396055	Scaffold	2020-10-30	JADEJV01	153735	44232318
GCA_015158455.1	ASM1515845v1	Homo sapiens					NTUH-F05-F-1	male		2857510322	Scaffold	2020-10-30	JADEJT01	149113	30113878
GCA_015158515.1	ASM1515851v1	Homo sapiens					NTUH-F06F	male		2863509722	Scaffold	2020-10-30	JADEJY01	182417	31991318
GCA_015158525.1	ASM1515852v1	Homo sapiens					NTUH-F06M	female		2850479786	Scaffold	2020-10-30	JADEJZ01	183360	31458470
GCA_015158555.1	ASM1515855v1	Homo sapiens					NTUH-F06M	female		2850415959	Scaffold	2020-10-30	JADEKA01	183067	31452740
GCA_015159215.1	ASM1515921v1	Homo sapiens					NTUH-F07-M	female		2842046669	Scaffold	2020-10-30	JADEKD01	162999	42528777
GCA_015159235.1	ASM1515923v1	Homo sapiens					NTUH-F07-F	male		2856559867	Scaffold	2020-10-30	JADEKB01	161606	34854040
GCA_015159255.1	ASM1515925v1	Homo sapiens					NTUH-F07-M	female		2841911358	Scaffold	2020-10-30	JADEKE01	163007	42519807
GCA_015159275.1	ASM1515927v1	Homo sapiens					NTUH-F07-F	male		2855609208	Scaffold	2020-10-30	JADEKC01	161595	34855322
GCA_015159295.1	ASM1515929v1	Homo sapiens					NTUH-F08F	male		2872809166	Scaffold	2020-10-30	JADEKF01	157471	44992803
GCA_015159315.1	ASM1515931v1	Homo sapiens					NTUH-F08F	male		2871994754	Scaffold	2020-10-30	JADEKG01	157287	45014312
GCA_015159335.1	ASM1515933v1	Homo sapiens					NTUH-F08M	female		2861852689	Scaffold	2020-10-30	JADEKH01	163787	45824098
GCA_015159365.1	ASM1515936v1	Homo sapiens					NTUH-F08M	female		2861584976	Scaffold	2020-10-30	JADEKI01	163645	45829986
GCA_015159385.1	ASM1515938v1	Homo sapiens					NTUH-F09F	male		2847040531	Scaffold	2020-10-30	JADEKJ01	184860	28747561
GCA_015159405.1	ASM1515940v1	Homo sapiens					NTUH-F09F	male		2846648873	Scaffold	2020-10-30	JADEKK01	185041	28731735
GCA_015159515.1	ASM1515951v1	Homo sapiens					NTUH-F09M	female		2839475504	Scaffold	2020-10-30	JADEKL01	185382	44872669
GCA_015159535.1	ASM1515953v1	Homo sapiens					NTUH-F09M	female		2838831612	Scaffold	2020-10-30	JADEKM01	185539	44872657
GCA_015164135.1	ASM1516413v1	Homo sapiens					NTUH-F02-F	male		2874389632	Scaffold	2020-10-30	JADEJI01	154961	20693411
GCA_015220235.1	mChoDid1.pri	Choloepus didactylus					mChoDid1	male		3214686105	Chromosome	2020-11-03	JADCNF01	20994632	146178362
GCA_015220265.1	mChoDid1.alt	Choloepus didactylus					mChoDid1	male		3180649806	Scaffold	2020-11-02	JADCNG01	512739	513103
GCA_015227675.2	mRatBN7.2	Rattus norvegicus		BN/NHsdMcwi				male		2647899415	Chromosome	2020-11-10	JACYVU01	29198295	135012528
GCA_015244455.1	mRatBN7.1 alternate haplotype	Rattus norvegicus		BN/NHsdMcwi				male		286931382	Scaffold	2020-11-04	JACYVV01	100340	100349
GCA_015251995.1	Vero_WHO_a1.0	Chlorocebus sabaeus		WHO RCB 10-87				female		2967847651	Scaffold	2020-11-06	JACDXO01	760686	71005392
GCA_015252025.1	Vero_WHO_p1.0	Chlorocebus sabaeus		WHO RCB 10-87				female		2937827970	Scaffold	2020-11-06	JACDXN01	839654	81790585
GCA_015443085.1	Saanen_v1	Capra hircus	Saanen Dairy Goat					male		2696218280	Chromosome	2020-11-16	JACWUT01	46208332	102383509
GCA_015472805.1	rouAeg_1.0	Rousettus aegyptiacus								1898981941	Scaffold	2020-10-30	BNJL01	120632	37187087
GCA_015472975.1	rouLes_1.0	Rousettus leschenaultii								1918041062	Scaffold	2020-10-30	BNJM01	40477	32720144
GCA_015476415.1	HC1-T	Homo sapiens					HCC1_tumor	male		2961464271	Contig	2020-11-15	JABWGJ01	8228494	
GCA_015476435.1	HC1-N	Homo sapiens					HCC1_normal	male		2953486705	Chromosome	2020-11-16	JABWGK01	5215207	141840420
GCA_015598185.1	mTacAcu1	Tachyglossus aculeatus					Emale_01	male		2168405530	Chromosome	2020-11-19	JADPHF01	25012	38566698
GCA_015708855.1	Pflavus_platanus500	Potos flavus					SDZ_MTNT-JEM001			2208169465	Scaffold	2020-12-01	JAABKN01	20854	3555714
GCA_015708975.1	Plotor_platanus500	Procyon lotor						male		2251262987	Scaffold	2020-12-01	JAABKC01	12040	1449398
GCA_015711505.1	Sylvilagus_bachmani_HiC	Sylvilagus bachmani					Sample2420	female		2686379823	Chromosome	2020-12-04	JADBBT01	58367	110456461
GCA_015741225.1	Hydrochoerus_hydrochaeris_HiC	Hydrochoerus hydrochaeris					Pop	male		2590838763	Chromosome	2020-12-04	JADBBS01	78808	71052467
GCA_015776825.1	Ninghe_Sus_1	Sus scrofa	Duroc				CAU-QG-20150412	male		2458240772	Chromosome	2020-12-08	JACDOW01	4265198	137575542
GCA_015832495.1	NRM_Aalces_1_0.fsa	Alces alces					AALL_1980	female		2486551692	Scaffold	2020-12-08	JADEYB01	70000	1703061
GCA_015852505.1	mTacAcu1.pri	Tachyglossus aculeatus					mTacAcu1	male		2213004214	Chromosome	2020-12-09	JADRJE01	19859057	63379719
GCA_015852515.1	mTacAcu1.alt	Tachyglossus aculeatus					mTacAcu1	male		1885160879	Scaffold	2020-12-08	JADRJF01	944524	948183
GCA_016077325.2	ASM1607732v2	Equus asinus	Dezhou					male		2431907375	Chromosome	2021-10-14	JADWZW02	25073460	98589534
GCA_016432865.2	AdamAnt_v2	Antechinus flavipes				Samford, QLD, Australia	AdamAnt	male		3192643918	Chromosome	2021-01-06	JADWMD01	51843704	636717922
GCA_016433095.1	ASM1643309v1	Hippotragus equinus					ID10954	male		2603408352	Scaffold	2020-12-29	JAEFBM01	237164	8357620
GCA_016433145.1	AgileGrace	Gracilinanus agilis					LMUSP501	male		3701017385	Chromosome	2021-01-06	JADWME01	73170	683521856
GCA_016509475.2	Fcat_Pben_1.1_paternal_pri	Prionailurus bengalensis					Pbe53	male		2435702060	Chromosome	2021-01-06	JADZGN01	82622880	148587958
GCA_016509815.2	Fcat_Pben_1.1_maternal_alt	Felis catus					Fca508	female		2422299418	Chromosome	2021-01-06	JADZGM01	83875697	147603332
GCA_016695395.2	mHomSap3.mat	Homo sapiens					mHomSap3	male		2902197670	Chromosome	2021-01-19	JACSEX01	12076592	150534096
GCA_016696395.1	USYD_AStu_M	Antechinus stuartii					AWGG2019M	male		3307090682	Scaffold	2021-01-15	JACYGW01	77883	72733491
GCA_016699345.2	BCM_Sbol_2.1	Saimiri boliviensis boliviensis	Bolivian squirrel monkey				100643	female		2650925067	Scaffold	2021-01-12	JAEKCL01	4857773	87238321
GCA_016700455.2	mHomSap3.pat	Homo sapiens					mHomSap3	male		2744463177	Chromosome	2021-01-19	JACSEW01	13671004	142230338
GCA_016772045.1	ARS-UI_Ramb_v2.0	Ovis aries	Rambouillet	OAR_USU_Benz2616				female		2628130289	Chromosome	2021-02-03	JAEVFA01	43178051	101274418
GCA_016801275.1	DSBC_Hbra_1.0	Hystrix brachyura					POm2014	male		2257332368	Scaffold	2021-02-02	QZML01	29439	2980431
GCA_016801295.1	DSBC_Mcra_1.0	Manis crassicaudata					PAm2014			2124325914	Scaffold	2021-02-02	QZMM01	7447	14162
GCA_016801355.1	CarCar1.0	Caracal caracal					Chip ID 208007098900738	male		2420801777	Scaffold	2021-02-02	JACGTZ01	32916	2085423
GCA_016881025.1	HiC_Itri_2	Ictidomys tridecemlineatus					GS200	female	Annotation submitted by Stanford University School of Medicine	2478949113	Chromosome	2021-02-17	JAESOR01	44127	193221680
GCA_016894425.1	ASM1689442v1	Homo sapiens					CHM13	female		146259670	Chromosome	2021-02-16		146259670	146259670
GCA_016906955.1	ROS_Pafr_v1	Phacochoerus africanus					WHEZ1	female		2435083091	Chromosome	2021-02-19	JACMRZ01	10602503	141887063
GCA_017311185.1	Proteles_cristatus_TS307_19_07_2019	Proteles cristata cristata					TS307	male		2388965834	Scaffold	2021-03-09	JAESUZ01	1258344	1308801
GCA_017311325.1	ASM1731132v1	Ursus maritimus					PB19			2330468424	Scaffold	2021-03-10	JADGMR01	206653	72237886
GCA_017311355.1	CVASU_Gayal_001	Bos frontalis					CVASU_BF_001			2795315450	Contig	2021-03-09	JAFDUV01	9646	
GCA_017311385.1	HRRL_Platanista_gangetica_1.0	Platanista gangetica					HRRL_PG_001			2238863808	Contig	2021-03-09	JAFDUW01	3092	
GCA_017311455.1	Otocyon_megalotis_TS305_17_09_2019	Otocyon megalotis megalotis					TS305	female		2374659532	Scaffold	2021-03-09	JAEUCK01	718012	728073
GCA_017524585.1	CAU_O.aries_1.0	Ovis aries	Tibetan sheep					female	Annotation submitted by China Agricultural University	2653843355	Chromosome	2021-03-24	JAEMGP01	74601179	105184753
GCA_017591425.1	NIBS_Ocur_1.0	Ochotona curzoniae					NIBS_2020			2086111946	Scaffold	2021-03-30	JAADBW01	29562832	33876933
GCA_017591445.1	ASM1759144v1	Giraffa camelopardalis rothschildi						male		2441480433	Chromosome	2021-03-30	JABCKX01	11323477	158234173
GCA_017639785.1	BCM_Maur_2.0	Mesocricetus auratus					SY011	female		2457062007	Scaffold	2021-03-30	JAFVMI01	9471653	85184847
GCA_017957985.1	ASM1795798v1	Sus scrofa domesticus	Meishan					female		2510037796	Chromosome	2021-04-15	JABTCQ01	51011532	138968154
GCA_018119265.1	PriViv1.0	Prionailurus viverrinus					PVI_139			2445563378	Scaffold	2021-04-21	JACGXT01	33715	3068410
GCA_018119505.1	PriBen1.0	Prionailurus bengalensis					PBE_2350			2488910774	Scaffold	2021-04-21	JACGXU01	16819	996683
GCA_018167655.1	Mior012	Microtus oregoni					MIOR12			3017107361	Contig	2021-04-26	JAGKIF01	34833828	
GCA_018282235.1	ASM1828223v1	Giraffa camelopardalis antiquorum					PLA01	male		2463975216	Scaffold	2021-05-05	JABSTO01	228443	27504022
GCA_018282365.1	ARS-UCSC_bison1.0	Bos taurus x Bison bison					Buzz	male		2651593212	Chromosome	2021-05-06	JAEQBK01	68474646	87753233
GCA_018282465.1	ARS_Simm1.0	Bos taurus x Bison bison					Buzz	male		2861687306	Chromosome	2021-05-06	JAEQBJ01	70612029	102503821
GCA_018345385.1	ASM1834538v1	Vulpes lagopus		Blue_001				female		2345533697	Chromosome	2021-05-12	JADWOQ01	33460300	131537142
GCA_018350155.1	O.geoffroyi_Oge1_pat1.0	Leopardus geoffroyi					Oge1	male		2426370816	Chromosome	2021-05-13	JAFEKB01	104474415	152606360
GCA_018350175.1	F.catus_Fca126_mat1.0	Felis catus					Fca126	female		2425730029	Chromosome	2021-05-13	JAFEKA01	90731473	148491486
GCA_018350195.2	P.tigris_Pti1_mat1.1	Panthera tigris					Pti1	female		2408678698	Chromosome	2021-05-13	JAEQMW01	74391967	146942463
GCA_018350215.1	P.leo_Ple1_pat1.1	Panthera leo					Ple1	male		2297552363	Chromosome	2021-05-13	JAEQMX01	77781637	147402474
GCA_018357025.1	ASM1835702v1	Capra hircus	San Clemente				HZY-2020	male		11480144	Scaffold	2021-05-06	JAGRQG01	309101	906919
GCA_018398495.1	HG002.HiFi_FALCON-Phase.0.contigs	Homo sapiens					NA24385	male		3026872481	Contig	2021-05-19	JADCLZ01	32131971	
GCA_018398505.1	HG002_HiFi.IPA_Primary	Homo sapiens					NA24385	male		3027477806	Contig	2021-05-19	JADCLX01	32127878	
GCA_018398555.1	HG002.HiFi_FALCON-Phase.1.contigs	Homo sapiens					NA24385	male		3026987908	Contig	2021-05-19	JADCMA01	32137607	
GCA_018398685.1	HG002_HiFi.IPA_Haplotigs	Homo sapiens					NA24385	male		1855746056	Contig	2021-05-19	JADCLY01	351716	
GCA_018398825.1	TreOrn1.0	Tremarctos ornatus				captive	KB11593	female		2232736945	Scaffold	2021-05-19	WMLG01	23521	21115316
GCA_018403415.1	P_iriomotensis_scaffold_01	Prionailurus iriomotensis								2382008360	Scaffold	2021-03-31	BOSP01	27846	102082
GCA_018403435.2	R_unicornis_scaffold_02	Rhinoceros unicornis								2375051758	Contig	2021-08-25	BOSQ02	663630	
GCA_018466835.1	HG02257.alt.pat.f1_v2	Homo sapiens					HG02257	female		3042496887	Contig	2021-05-24	JAGYVI01	57982120	
GCA_018466845.1	HG02257.pri.mat.f1_v2	Homo sapiens					HG02257	female		3031054780	Scaffold	2021-05-24	JAGYVH01	59044574	59044574
GCA_018466855.1	HG02559.alt.pat.f1_v2	Homo sapiens					HG02559	female		3024156283	Scaffold	2021-05-24	JAGYVK01	57249657	57249657
GCA_018466985.1	HG02559.pri.mat.f1_v2	Homo sapiens					HG02559	female		3040515213	Contig	2021-05-24	JAGYVJ01	59525942	
GCA_018467005.1	HG02486.alt.pat.f1_v2	Homo sapiens					HG02486	male		2930935689	Scaffold	2021-05-24	JAGYVM01	58491195	58491195
GCA_018467015.1	HG02486.pri.mat.f1_v2	Homo sapiens					HG02486	male		3030645860	Scaffold	2021-05-24	JAGYVL01	55069743	55069743
GCA_018467155.1	HG01891.pri.mat.f1_v2	Homo sapiens					HG01891	female		3022936209	Scaffold	2021-05-24	JAGYVN01	81112077	81112077
GCA_018467165.1	HG01891.alt.pat.f1_v2	Homo sapiens					HG01891	female		3043232268	Scaffold	2021-05-24	JAGYVO01	57096483	57096483
GCA_018469405.1	HG01258.pri.mat.f1_v2	Homo sapiens					HG01258	male		3032403722	Scaffold	2021-05-24	JAGYYU01	56644858	56644858
GCA_018469415.1	HG03516.alt.pat.f1_v2	Homo sapiens					HG03516	female		3067004974	Scaffold	2021-05-24	JAGYYT01	55482364	55482364
GCA_018469425.1	HG03516.pri.mat.f1_v2	Homo sapiens					HG03516	female		3033463069	Contig	2021-05-24	JAGYYS01	44773628	
GCA_018469665.1	HG01123.pri.mat.f1_v2.1	Homo sapiens					HG01123	female		3012806377	Scaffold	2021-05-24	JAGYYY01	54362305	54362305
GCA_018469675.1	HG01258.alt.pat.f1_v2	Homo sapiens					HG01258	male		2915178237	Scaffold	2021-05-24	JAGYYV01	49858426	49858426
GCA_018469685.1	HG01361.pri.mat.f1_v2	Homo sapiens					HG01361	female		3025297046	Contig	2021-05-24	JAGYYW01	45122217	
GCA_018469695.1	HG01123.alt.pat.f1_v2.1	Homo sapiens					HG01123	female		3014197469	Scaffold	2021-05-24	JAGYYZ01	44719827	44719827
GCA_018469705.1	HG01361.alt.pat.f1_v2	Homo sapiens					HG01361	female		3010067136	Scaffold	2021-05-24	JAGYYX01	47178056	47178056
GCA_018469865.1	HG01358.pri.mat.f1_v2.1	Homo sapiens					HG01358	male		3029571124	Scaffold	2021-05-24	JAGYZA01	48753445	48753445
GCA_018469875.1	HG02622.pri.mat.f1_v2	Homo sapiens					HG02622	female		3046089411	Contig	2021-05-24	JAHAON01	60041455	
GCA_018469925.1	HG02622.alt.pat.f1_v2	Homo sapiens					HG02622	female		3043426064	Scaffold	2021-05-24	JAHAOO01	51206351	51206351
GCA_018469935.1	HG02717.pri.mat.f1_v2	Homo sapiens					HG02717	male		3038304112	Scaffold	2021-05-24	JAHAOR01	43942241	43942241
GCA_018469945.1	HG02630.alt.pat.f1_v2	Homo sapiens					HG02630	female		3053402297	Scaffold	2021-05-24	JAHAOQ01	29253507	29253507
GCA_018469955.1	HG02630.pri.mat.f1_v2	Homo sapiens					HG02630	female		3041860872	Scaffold	2021-05-24	JAHAOP01	25380071	25380071
GCA_018469965.1	HG01358.alt.pat.f1_v2.1	Homo sapiens					HG01358	male		2932540871	Scaffold	2021-05-24	JAGYZB01	52440137	52440137
GCA_018470425.1	HG02717.alt.pat.f1_v2	Homo sapiens					HG02717	male		2946102667	Scaffold	2021-05-24	JAHAOS01	46513843	46513843
GCA_018470435.1	HG02572.alt.pat.f1_v2	Homo sapiens					HG02572	male		2943627449	Scaffold	2021-05-24	JAHAOW01	19525040	19525040
GCA_018470445.1	HG02572.pri.mat.f1_v2	Homo sapiens					HG02572	male		3055365483	Scaffold	2021-05-24	JAHAOV01	23127662	23127662
GCA_018470455.1	HG02886.pri.mat.f1_v2	Homo sapiens					HG02886	female		3049118064	Contig	2021-05-24	JAHAOT01	28882481	
GCA_018470465.1	HG02886.alt.pat.f1_v2	Homo sapiens					HG02886	female		3047149239	Contig	2021-05-24	JAHAOU01	29113777	
GCA_018471065.1	HG01175.alt.pat.f1_v2	Homo sapiens					HG01175	female		3030026811	Contig	2021-05-24	JAHAMA01	34803293	
GCA_018471075.1	HG01106.alt.pat.f1_v2	Homo sapiens					HG01106	male		2927007346	Contig	2021-05-24	JAHAMC01	57173280	
GCA_018471085.1	HG01175.pri.mat.f1_v2	Homo sapiens					HG01175	female		3030719084	Scaffold	2021-05-24	JAHALZ01	35806063	36535860
GCA_018471095.1	HG00741.pri.mat.f1_v2	Homo sapiens					HG00741	female		3036685287	Contig	2021-05-24	JAHALX01	41001116	
GCA_018471105.1	HG00741.alt.pat.f1_v2	Homo sapiens					HG00741	female		3029878036	Scaffold	2021-05-24	JAHALY01	51040418	51040418
GCA_018471345.1	HG01106.pri.mat.f1_v2	Homo sapiens					HG01106	male		3035829013	Scaffold	2021-05-24	JAHAMB01	47714433	47714433
GCA_018471515.1	HG00438.pri.mat.f1_v2	Homo sapiens					HG00438	female		3035719151	Contig	2021-05-24	JAHBCA01	54936949	
GCA_018471525.1	HG02148.alt.pat.f1_v2	Homo sapiens					HG02148	female		3026089995	Contig	2021-05-24	JAHAMG01	41874143	
GCA_018471535.1	HG02148.pri.mat.f1_v2	Homo sapiens					HG02148	female		3036119645	Contig	2021-05-24	JAHAMF01	39938933	
GCA_018471545.1	HG01952.pri.mat.f1_v2	Homo sapiens					HG01952	male		3020546425	Contig	2021-05-24	JAHAMD01	54639450	
GCA_018471555.1	HG01952.alt.pat.f1_v2	Homo sapiens					HG01952	male		2913263982	Contig	2021-05-24	JAHAME01	44250376	
GCA_018472565.1	HG00673.pri.mat.f1_v2	Homo sapiens					HG00673	male		3053568501	Contig	2021-05-24	JAHBBY01	29077043	
GCA_018472575.1	HG00621.alt.pat.f1_v2	Homo sapiens					HG00621	male		2905948993	Contig	2021-05-24	JAHBCD01	54673245	
GCA_018472585.1	HG00673.alt.pat.f1_v2	Homo sapiens					HG00673	male		2925716157	Scaffold	2021-05-24	JAHBBZ01	34669379	34843587
GCA_018472595.1	HG00438.alt.pat.f1_v2	Homo sapiens					HG00438	female		3025118465	Scaffold	2021-05-24	JAHBCB01	48061544	48061544
GCA_018472605.1	HG00621.pri.mat.f1_v2	Homo sapiens					HG00621	male		3023009501	Contig	2021-05-24	JAHBCC01	50294217	
GCA_018472685.1	HG01071.pri.mat.f1_v2	Homo sapiens					HG01071	female		3012710110	Contig	2021-05-24	JAHBCE01	50125412	
GCA_018472695.1	HG01928.pri.mat.f1_v2	Homo sapiens					HG01928	male		3025944486	Contig	2021-05-24	JAGYVP01	53717995	
GCA_018472705.1	HG01928.alt.pat.f1_v2	Homo sapiens					HG01928	male		2923053911	Scaffold	2021-05-24	JAGYVQ01	45697985	45697985
GCA_018472715.1	HG00735.alt.pat.f1_v2	Homo sapiens					HG00735	female		3033541617	Scaffold	2021-05-24	JAHBCH01	53422923	53422923
GCA_018472725.1	HG01071.alt.pat.f1_v2	Homo sapiens					HG01071	female		3057222025	Scaffold	2021-05-24	JAHBCF01	55592407	55592407
GCA_018472765.1	HG00735.pri.mat.f1_v2	Homo sapiens					HG00735	female		3037778542	Scaffold	2021-05-24	JAHBCG01	56474489	56474489
GCA_018472825.1	HG03579.pri.mat.f1_v2	Homo sapiens					HG03579	male		3035126654	Scaffold	2021-05-24	JAGYVT01	27014075	27014075
GCA_018472835.1	HG03579.alt.pat.f1_v2	Homo sapiens					HG03579	male		2947164001	Contig	2021-05-24	JAGYVU01	27544339	
GCA_018472845.1	HG01978.alt.pat.f1_v2	Homo sapiens					HG01978	female		3055071491	Scaffold	2021-05-24	JAGYVS01	52814149	52814149
GCA_018472855.1	HG03453.pri.mat.f1_v2	Homo sapiens					HG03453	female		3047982371	Scaffold	2021-05-24	JAGYVV01	26379428	26379428
GCA_018472865.1	HG01978.pri.mat.f1_v2	Homo sapiens					HG01978	female		3051852830	Contig	2021-05-24	JAGYVR01	60487953	
GCA_018473295.1	HG03540.pri.mat.f1_v2	Homo sapiens					HG03540	female		3048402207	Scaffold	2021-05-24	JAGYVX01	30474809	30474809
GCA_018473305.1	HG03453.alt.pat.f1_v2	Homo sapiens					HG03453	female		3050441176	Contig	2021-05-24	JAGYVW01	27053039	
GCA_018473315.1	HG03540.alt.pat.f1_v2	Homo sapiens					HG03540	female		3065276644	Scaffold	2021-05-24	JAGYVY01	34159233	34159233
GCA_018503245.1	HG03486.alt.pat.f1_v2	Homo sapiens					HG03486	female		3049588884	Scaffold	2021-05-26	JAHEOQ01	27177738	27177738
GCA_018503255.1	NA18906.pri.mat.f1_v2	Homo sapiens					NA18906	female		3055676288	Contig	2021-05-26	JAHEON01	40078400	
GCA_018503265.1	NA19240.alt.pat.f1_v2	Homo sapiens					NA19240	female		3038325696	Scaffold	2021-05-26	JAHEOM01	25199424	25199424
GCA_018503275.1	NA19240.pri.mat.f1_v2	Homo sapiens					NA19240	female		3032049516	Scaffold	2021-05-26	JAHEOL01	28898930	28898930
GCA_018503285.1	NA18906.alt.pat.f1_v2	Homo sapiens					NA18906	female		3046330261	Contig	2021-05-26	JAHEOO01	43522948	
GCA_018503525.1	HG03486.pri.mat.f1_v2	Homo sapiens					HG03486	female		3034898780	Scaffold	2021-05-26	JAHEOP01	24250446	24250446
GCA_018503575.1	HG02818.alt.pat.f1_v2	Homo sapiens					HG02818	female		3019578985	Scaffold	2021-05-26	JAHEOS01	18216950	18216950
GCA_018503585.1	HG02818.pri.mat.f1_v2	Homo sapiens					HG02818	female		3037424886	Scaffold	2021-05-26	JAHEOR01	19382927	19382927
GCA_018504045.1	HG01243.alt.pat.f1_v2	Homo sapiens					HG01243	male		2908728425	Scaffold	2021-05-26	JAHEOY01	29118474	29118474
GCA_018504055.1	HG02080.alt.pat.f1_v2	Homo sapiens					HG02080	female		3024505444	Contig	2021-05-26	JAHEOW01	24285731	
GCA_018504065.1	HG02723.pri.mat.f1_v2	Homo sapiens					HG02723	female		3027186525	Scaffold	2021-05-26	JAHEOT01	22438397	22438397
GCA_018504075.1	HG02723.alt.pat.f1_v2	Homo sapiens					HG02723	female		3049492048	Scaffold	2021-05-26	JAHEOU01	24228400	24827663
GCA_018504085.1	HG02080.pri.mat.f1_v2	Homo sapiens					HG02080	female		3033181500	Scaffold	2021-05-26	JAHEOV01	20228813	20228813
